,size,train_scores,test_scores,combs
0,1,0.6658190108733778,0.672,"('HomeOwnerFlag',)"
1,1,0.7007190459487899,0.7148,"('NumberCarsOwned',)"
2,1,0.7692037881445107,0.7702,"('NumberChildrenAtHome',)"
3,1,0.6658190108733778,0.672,"('AreaCode',)"
4,1,0.6658190108733778,0.672,"('Sex',)"
5,1,0.6658190108733778,0.672,"('Married',)"
6,1,0.6658190108733778,0.672,"('JobType',)"
7,1,0.6658190108733778,0.672,"('EducationType',)"
8,1,0.6658190108733778,0.672,"('Country',)"
9,1,0.6762539459838653,0.6712,"('Income',)"
10,1,0.6658190108733778,0.672,"('AgeBracket',)"
11,1,0.6658190108733778,0.672,"('ChildrenFlag',)"
12,2,0.7007190459487899,0.7148,"('HomeOwnerFlag', 'NumberCarsOwned')"
13,2,0.7692037881445107,0.7702,"('HomeOwnerFlag', 'NumberChildrenAtHome')"
14,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode')"
15,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex')"
16,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married')"
17,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType')"
18,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'EducationType')"
19,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Country')"
20,2,0.6762539459838653,0.6712,"('HomeOwnerFlag', 'Income')"
21,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AgeBracket')"
22,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'ChildrenFlag')"
23,2,0.7692037881445107,0.7696,"('NumberCarsOwned', 'NumberChildrenAtHome')"
24,2,0.7007190459487899,0.7148,"('NumberCarsOwned', 'AreaCode')"
25,2,0.7007190459487899,0.7148,"('NumberCarsOwned', 'Sex')"
26,2,0.7007190459487899,0.7148,"('NumberCarsOwned', 'Married')"
27,2,0.7023851280252543,0.716,"('NumberCarsOwned', 'JobType')"
28,2,0.70457734128376,0.7168,"('NumberCarsOwned', 'EducationType')"
29,2,0.7020343739038933,0.7152,"('NumberCarsOwned', 'Country')"
30,2,0.7034373903893371,0.712,"('NumberCarsOwned', 'Income')"
31,2,0.7095755875131533,0.7228,"('NumberCarsOwned', 'AgeBracket')"
32,2,0.7080848824973693,0.7196,"('NumberCarsOwned', 'ChildrenFlag')"
33,2,0.7692037881445107,0.7702,"('NumberChildrenAtHome', 'AreaCode')"
34,2,0.7699052963872326,0.7772,"('NumberChildrenAtHome', 'Sex')"
35,2,0.7697299193265521,0.7802,"('NumberChildrenAtHome', 'Married')"
36,2,0.7693791652051911,0.7698,"('NumberChildrenAtHome', 'JobType')"
37,2,0.7713083128726762,0.771,"('NumberChildrenAtHome', 'EducationType')"
38,2,0.7692037881445107,0.7702,"('NumberChildrenAtHome', 'Country')"
39,2,0.7692037881445107,0.7702,"('NumberChildrenAtHome', 'Income')"
40,2,0.7728867064188004,0.7752,"('NumberChildrenAtHome', 'AgeBracket')"
41,2,0.7692037881445107,0.7702,"('NumberChildrenAtHome', 'ChildrenFlag')"
42,2,0.6658190108733778,0.672,"('AreaCode', 'Sex')"
43,2,0.6658190108733778,0.672,"('AreaCode', 'Married')"
44,2,0.6771308312872676,0.679,"('AreaCode', 'JobType')"
45,2,0.6658190108733778,0.672,"('AreaCode', 'EducationType')"
46,2,0.6658190108733778,0.672,"('AreaCode', 'Country')"
47,2,0.688267274640477,0.6906,"('AreaCode', 'Income')"
48,2,0.6658190108733778,0.672,"('AreaCode', 'AgeBracket')"
49,2,0.6658190108733778,0.672,"('AreaCode', 'ChildrenFlag')"
50,2,0.6658190108733778,0.672,"('Sex', 'Married')"
51,2,0.6750263065591021,0.677,"('Sex', 'JobType')"
52,2,0.6658190108733778,0.672,"('Sex', 'EducationType')"
53,2,0.6658190108733778,0.672,"('Sex', 'Country')"
54,2,0.6813398807435987,0.6768,"('Sex', 'Income')"
55,2,0.6749386180287619,0.6816,"('Sex', 'AgeBracket')"
56,2,0.6658190108733778,0.672,"('Sex', 'ChildrenFlag')"
57,2,0.6788846018940723,0.6842,"('Married', 'JobType')"
58,2,0.6709926341634515,0.683,"('Married', 'EducationType')"
59,2,0.6658190108733778,0.672,"('Married', 'Country')"
60,2,0.700017537706068,0.7016,"('Married', 'Income')"
61,2,0.6779200280603297,0.686,"('Married', 'AgeBracket')"
62,2,0.6678358470712031,0.6752,"('Married', 'ChildrenFlag')"
63,2,0.6806383725008769,0.6874,"('JobType', 'EducationType')"
64,2,0.6811645036829183,0.6848,"('JobType', 'Country')"
65,2,0.6873903893370747,0.6864,"('JobType', 'Income')"
66,2,0.695808488249737,0.7016,"('JobType', 'AgeBracket')"
67,2,0.6658190108733778,0.672,"('JobType', 'ChildrenFlag')"
68,2,0.667046650298141,0.6732,"('EducationType', 'Country')"
69,2,0.6980007015082427,0.6972,"('EducationType', 'Income')"
